iter	Passed	Remaining
942	7095	1181
943	7103	1173
944	7111	1166
945	7118	1158
946	7126	1151
947	7133	1143
948	7140	1136
949	7147	1128
950	7154	1120
951	7162	1113
952	7169	1105
953	7176	1098
954	7182	1090
955	7190	1083
956	7198	1075
957	7206	1068
958	7213	1060
959	7221	1053
960	7229	1045
961	7236	1038
962	7244	1030
963	7252	1023
964	7258	1015
965	7265	1007
966	7272	1000
967	7280	992
968	7287	985
969	7295	977
970	7302	970
971	7309	962
972	7316	954
973	7323	947
974	7331	939
975	7338	932
976	7345	924
977	7353	917
978	7361	909
979	7368	902
980	7376	894
981	7383	887
982	7392	879
983	7399	872
984	7407	864
985	7414	857
986	7421	849
987	7428	842
988	7436	834
989	7443	827
990	7451	819
991	7458	811
992	7465	804
993	7473	797
994	7480	789
995	7487	781
996	7495	774
997	7502	766
998	7511	759
999	7518	751
1000	7525	744
1001	7532	736
1002	7539	729
1003	7547	721
1004	7554	714
1005	7561	706
1006	7567	698
1007	7575	691
1008	7582	683
1009	7590	676
1010	7598	668
1011	7606	661
1012	7613	653
1013	7621	646
1014	7630	639
1015	7637	631
1016	7644	623
1017	7651	616
1018	7659	608
1019	7667	601
1020	7674	593
1021	7681	586
1022	7688	578
1023	7697	571
1024	7704	563
1025	7711	556
1026	7718	548
1027	7726	541
1028	7733	533
1029	7740	526
1030	7747	518
1031	7754	510
1032	7761	503
1033	7767	495
1034	7774	488
1035	7781	480
1036	7789	473
1037	7795	465
1038	7802	458
1039	7810	450
1040	7817	443
1041	7825	435
1042	7832	428
1043	7839	420
1044	7846	412
1045	7853	405
1046	7860	397
1047	7866	390
1048	7874	382
1049	7880	375
1050	7887	367
1051	7894	360
1052	7901	352
1053	7909	345
1054	7915	337
1055	7922	330
1056	7929	322
1057	7936	315
1058	7944	307
1059	7951	300
1060	7958	292
1061	7965	285
1062	7972	277
1063	7980	270
1064	7987	262
1065	7994	254
1066	8003	247
1067	8009	239
1068	8016	232
1069	8024	224
1070	8032	217
1071	8039	209
1072	8046	202
1073	8054	194
1074	8062	187
1075	8070	180
1076	8077	172
1077	8084	164
1078	8091	157
1079	8098	149
1080	8106	142
1081	8114	134
1082	8121	127
1083	8127	119
1084	8136	112
1085	8143	104
1086	8150	97
1087	8157	89
1088	8164	82
1089	8172	74
1090	8178	67
1091	8185	59
1092	8192	52
1093	8200	44
1094	8207	37
1095	8214	29
1096	8221	22
1097	8228	14
1098	8234	7
1099	8241	0
